Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
NA,NA,ERR714786,SAMEA2043039,MPROS800,NA,45,NA,0.094,6,NA,NA,101,MPROS0800,ERS197908,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714786/ERR714786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714786/ERR714786_2.fastq.gz,2015
NA,NA,ERR737156,SAMEA2664099,MPROS1442,NA,80,NA,0.064,3,NA,NA,102,MPROS1442,ERS512110,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737156/ERR737156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737156/ERR737156_2.fastq.gz,2015
NA,NA,ERR714795,SAMEA2041872,MPROS938,NA,59,NA,0.015,0.047,NA,NA,103,MPROS0938,ERS197920,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714795/ERR714795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714795/ERR714795_2.fastq.gz,2015
NA,NA,ERR714805,SAMEA2041614,MPROS949,NA,5,NA,0.032,3,NA,NA,104,MPROS0949,ERS197930,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714805/ERR714805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714805/ERR714805_2.fastq.gz,2015
NA,NA,ERR714837,SAMEA2663807,MPROS1202,NA,5,NA,0.015,0.023,NA,NA,105,MPROS1202,ERS511818,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714837/ERR714837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714837/ERR714837_2.fastq.gz,2015
NA,NA,ERR714840,SAMEA2663815,MPROS1205,NA,5,NA,0.125,12,NA,NA,106,MPROS1205,ERS511826,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714840/ERR714840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714840/ERR714840_2.fastq.gz,2015
NA,NA,ERR714847,SAMEA2663839,MPROS1217,NA,1,NA,0.125,6,NA,NA,107,MPROS1217,ERS511850,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714847/ERR714847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714847/ERR714847_2.fastq.gz,2015
NA,NA,ERR714853,SAMEA2663858,MPROS1224,NA,30,NA,12,48,NA,NA,108,MPROS1224,ERS511869,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714853/ERR714853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714853/ERR714853_2.fastq.gz,2015
NA,NA,ERR714864,SAMEA2663889,MPROS1242,NA,45,NA,0.064,16,NA,NA,109,MPROS1242,ERS511900,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714864/ERR714864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714864/ERR714864_2.fastq.gz,2015
NA,NA,ERR714870,SAMEA2663909,MPROS1250,NA,5,NA,0.064,6,NA,NA,110,MPROS1250,ERS511920,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714870/ERR714870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714870/ERR714870_2.fastq.gz,2015
NA,NA,ERR714905,SAMEA2663773,MPROS1094,NA,1,NA,1,2,NA,NA,111,MPROS1094,ERS511784,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714905/ERR714905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714905/ERR714905_2.fastq.gz,2015
NA,NA,ERR737004,SAMEA2665082,MPROS2300,NA,5,NA,0.094,6,NA,NA,112,MPROS2300,ERS513093,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737004/ERR737004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737004/ERR737004_2.fastq.gz,2015
NA,NA,ERR714916,SAMEA2041118,MPROS0765,NA,1,NA,0.5,16,NA,NA,113,MPROS0765,ERS197753,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714916/ERR714916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714916/ERR714916_2.fastq.gz,2015
NA,NA,ERR714924,SAMEA2042957,MPROS0777,NA,30,NA,96,256,NA,NA,114,MPROS0777,ERS197764,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714924/ERR714924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714924/ERR714924_2.fastq.gz,2015
NA,NA,ERR714930,SAMEA2042959,MPROS0784,NA,1,NA,0.19,16,NA,NA,115,MPROS0784,ERS197770,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714930/ERR714930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714930/ERR714930_2.fastq.gz,2015
NA,NA,ERR714908,SAMEA2041111,MPROS0755,NA,30,NA,0.032,8,NA,NA,116,MPROS0755,ERS197744,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714908/ERR714908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714908/ERR714908_2.fastq.gz,2015
NA,NA,ERR714947,SAMEA2041213,MPROS0810,NA,2401,NA,0.032,3,NA,NA,NA,MPROS0810,ERS197789,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714947/ERR714947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714947/ERR714947_2.fastq.gz,2015
NA,NA,ERR714046,SAMEA2675701,EOE0338,NA,5,NA,0.047,8,NA,NA,118,EOE0338,ERS515725,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714046/ERR714046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714046/ERR714046_2.fastq.gz,2015
NA,NA,ERR715014,SAMEA2041688,MPROS989,NA,59,NA,0.023,2,NA,NA,119,MPROS0989,ERS197963,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715014/ERR715014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715014/ERR715014_2.fastq.gz,2015
NA,NA,ERR715027,SAMEA2041697,MPROS1006,NA,5,NA,0.094,6,NA,NA,120,MPROS1006,ERS197976,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715027/ERR715027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715027/ERR715027_2.fastq.gz,2015
NA,NA,ERR715003,SAMEA2041629,MPROS974,NA,59,NA,0.5,32,NA,NA,121,MPROS0974,ERS197952,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715003/ERR715003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715003/ERR715003_2.fastq.gz,2015
NA,NA,ERR715036,SAMEA2041949,MPROS1016,NA,22,NA,32,96,NA,NA,122,MPROS1016,ERS197986,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715036/ERR715036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715036/ERR715036_2.fastq.gz,2015
NA,NA,ERR715048,SAMEA2041712,MPROS533,NA,5,NA,6,32,NA,NA,123,MPROS0533,ERS197999,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715048/ERR715048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715048/ERR715048_2.fastq.gz,2015
NA,NA,ERR715009,SAMEA2041633,MPROS982,NA,30,NA,0.023,8,NA,NA,124,MPROS0982,ERS197958,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715009/ERR715009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715009/ERR715009_2.fastq.gz,2015
NA,NA,ERR736944,SAMEA2665014,MPROS2345,NA,1,NA,0.38,12,NA,NA,125,MPROS2345,ERS513025,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736944/ERR736944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736944/ERR736944_2.fastq.gz,2015
NA,NA,ERR715387,SAMEA2664946,MPROS2498,NA,45,NA,0.125,12,NA,NA,126,MPROS2498,ERS512957,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715387/ERR715387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715387/ERR715387_2.fastq.gz,2015
NA,NA,ERR715119,SAMEA2664415,MPROS1797,NA,15,NA,0.094,4,NA,NA,127,MPROS1797,ERS512426,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715119/ERR715119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715119/ERR715119_2.fastq.gz,2015
NA,NA,ERR715375,SAMEA2664931,MPROS2477,NA,45,NA,0.094,12,NA,NA,128,MPROS2477,ERS512942,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715375/ERR715375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715375/ERR715375_2.fastq.gz,2015
NA,NA,ERR715133,SAMEA2664429,MPROS1726,NA,239,NA,16,32,NA,NA,NA,MPROS1726,ERS512440,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715133/ERR715133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715133/ERR715133_2.fastq.gz,2015
NA,NA,ERR715137,SAMEA2664433,MPROS1832,NA,1,NA,0.5,16,NA,NA,130,MPROS1832,ERS512444,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715137/ERR715137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715137/ERR715137_2.fastq.gz,2015
NA,NA,ERR715146,SAMEA2664347,MPROS1845,NA,8,NA,0.19,12,NA,NA,131,MPROS1845,ERS512358,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715146/ERR715146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715146/ERR715146_2.fastq.gz,2015
NA,NA,ERR715163,SAMEA2664448,MPROS2261,NA,1,NA,0.125,3,NA,NA,132,MPROS2261,ERS512459,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715163/ERR715163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715163/ERR715163_2.fastq.gz,2015
NA,NA,ERR715277,SAMEA2664844,MPROS2133,NA,1,NA,1.5,24,NA,NA,133,MPROS2133,ERS512855,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715277/ERR715277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715277/ERR715277_2.fastq.gz,2015
NA,NA,ERR715294,SAMEA2664882,MPROS2151,NA,97,NA,0.125,6,NA,NA,134,MPROS2151,ERS512893,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715294/ERR715294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715294/ERR715294_2.fastq.gz,2015
NA,NA,ERR715316,SAMEA2664810,MPROS2402,NA,30,NA,0.125,24,NA,NA,135,MPROS2402,ERS512821,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715316/ERR715316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715316/ERR715316_2.fastq.gz,2015
NA,NA,ERR715345,SAMEA2664883,MPROS2437,NA,45,NA,0.094,12,NA,NA,136,MPROS2437,ERS512894,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715345/ERR715345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715345/ERR715345_2.fastq.gz,2015
NA,NA,ERR715128,SAMEA2664424,MPROS1816,NA,80,NA,0.064,4,NA,NA,137,MPROS1816,ERS512435,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715128/ERR715128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715128/ERR715128_2.fastq.gz,2015
NA,NA,ERR715114,SAMEA2664410,MPROS1790,NA,5,NA,0.023,2,NA,NA,138,MPROS1790,ERS512421,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715114/ERR715114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715114/ERR715114_2.fastq.gz,2015
NA,NA,ERR715395,SAMEA2664954,MPROS2506,NA,5,NA,0.032,4,NA,NA,139,MPROS2506,ERS512965,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715395/ERR715395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR715/ERR715395/ERR715395_2.fastq.gz,2015
NA,NA,ERR714005,SAMEA2675660,EOE0281,NA,59,NA,0.023,1.5,NA,NA,NA,EOE0281,ERS515684,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714005/ERR714005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714005/ERR714005_2.fastq.gz,2015
NA,NA,ERR714006,SAMEA2675661,EOE0282,NA,97,NA,0.032,0.064,NA,NA,141,EOE0282,ERS515685,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714006/ERR714006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714006/ERR714006_2.fastq.gz,2015
NA,NA,ERR714993,SAMEA2043016,MPROS856,NA,22,NA,6,32,NA,NA,142,MPROS0856,ERS197836,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714993/ERR714993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714993/ERR714993_2.fastq.gz,2015
NA,NA,ERR714061,SAMEA2675716,EOE291_A,NA,97,NA,0.125,12,NA,NA,143,EOE291_A,ERS515740,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714061/ERR714061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714061/ERR714061_2.fastq.gz,2015
NA,NA,ERR714062,SAMEA2675717,EOE291_B,NA,97,NA,0.094,0.125,NA,NA,144,EOE291_B,ERS515741,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714062/ERR714062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714062/ERR714062_2.fastq.gz,2015
NA,NA,ERR736965,SAMEA2665050,MPROS2382,NA,1,NA,0.064,12,NA,NA,145,MPROS2382,ERS513061,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736965/ERR736965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR736/ERR736965/ERR736965_2.fastq.gz,2015
NA,NA,ERR714906,SAMEA2041110,MPROS0753,NA,30,NA,0.032,12,NA,NA,146,MPROS0753,ERS197742,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714906/ERR714906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714906/ERR714906_2.fastq.gz,2015
NA,NA,ERR737023,SAMEA2663776,MPROS1144,NA,30,NA,0.032,4,NA,NA,147,MPROS1144,ERS511787,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737023/ERR737023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737023/ERR737023_2.fastq.gz,2015
NA,NA,ERR737075,SAMEA2663939,MPROS1338,NA,97,NA,0.38,16,NA,NA,148,MPROS1338,ERS511950,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737075/ERR737075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737075/ERR737075_2.fastq.gz,2015
NA,NA,ERR714898,SAMEA2663992,MPROS1245,NA,45,NA,0.032,8,NA,NA,149,MPROS1245,ERS512003,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714898/ERR714898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714898/ERR714898_2.fastq.gz,2015
NA,NA,ERR737096,SAMEA2664006,MPROS1368,NA,59,NA,0.032,3,NA,NA,150,MPROS1368,ERS512017,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737096/ERR737096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737096/ERR737096_2.fastq.gz,2015
NA,NA,ERR737141,SAMEA2664060,MPROS1425,NA,30,NA,0.047,16,NA,NA,151,MPROS1425,ERS512071,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737141/ERR737141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737141/ERR737141_2.fastq.gz,2015
NA,NA,ERR737146,SAMEA2664073,MPROS1431,NA,5,NA,0.094,8,NA,NA,152,MPROS1431,ERS512084,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737146/ERR737146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737146/ERR737146_2.fastq.gz,2015
NA,NA,ERR737153,SAMEA2664092,MPROS1439,NA,8,NA,0.047,6,NA,NA,153,MPROS1439,ERS512103,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737153/ERR737153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737153/ERR737153_2.fastq.gz,2015
NA,NA,ERR737154,SAMEA2664094,MPROS1440,NA,72,NA,0.38,16,NA,NA,154,MPROS1440,ERS512105,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737154/ERR737154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737154/ERR737154_2.fastq.gz,2015
NA,NA,ERR737155,SAMEA2664096,MPROS1441,NA,8,NA,0.094,12,NA,NA,155,MPROS1441,ERS512107,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737155/ERR737155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737155/ERR737155_2.fastq.gz,2015
NA,NA,ERR737194,SAMEA2664217,MPROS1410,NA,59,NA,0.064,4,NA,NA,156,MPROS1410,ERS512228,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737194/ERR737194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737194/ERR737194_2.fastq.gz,2015
NA,NA,ERR737118,SAMEA2664028,MPROS1395,NA,15,NA,0.125,3,NA,NA,157,MPROS1395,ERS512039,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737118/ERR737118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737118/ERR737118_2.fastq.gz,2015
NA,NA,ERR737212,SAMEA2664116,MPROS1479,NA,1,NA,0.75,16,NA,NA,158,MPROS1479,ERS512127,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737212/ERR737212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737212/ERR737212_2.fastq.gz,2015
NA,NA,ERR714769,SAMEA2043034,MPROS912,NA,45,NA,0.094,12,NA,NA,159,MPROS0912,ERS197890,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714769/ERR714769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714769/ERR714769_2.fastq.gz,2015
NA,NA,ERR737222,SAMEA2664145,MPROS1491,NA,59,NA,0.047,2,NA,NA,160,MPROS1491,ERS512156,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737222/ERR737222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737222/ERR737222_2.fastq.gz,2015
NA,NA,ERR714729,SAMEA2043019,MPROS865,NA,45,NA,0.032,6,NA,NA,161,MPROS0865,ERS197845,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714729/ERR714729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR714/ERR714729/ERR714729_2.fastq.gz,2015
NA,NA,ERR737252,SAMEA2664226,MPROS1532,NA,1,NA,0.5,16,NA,NA,162,MPROS1532,ERS512237,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737252/ERR737252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737252/ERR737252_2.fastq.gz,2015
NA,NA,ERR737254,SAMEA2664230,MPROS1535,NA,59,NA,0.064,4,NA,NA,163,MPROS1535,ERS512241,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737254/ERR737254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737254/ERR737254_2.fastq.gz,2015
NA,NA,ERR737264,SAMEA2664250,MPROS1545,NA,1,NA,0.75,16,NA,NA,164,MPROS1545,ERS512261,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737264/ERR737264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737264/ERR737264_2.fastq.gz,2015
NA,NA,ERR737266,SAMEA2664254,MPROS1547,NA,30,NA,0.064,12,NA,NA,165,MPROS1547,ERS512265,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737266/ERR737266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737266/ERR737266_2.fastq.gz,2015
NA,NA,ERR737273,SAMEA2664264,MPROS1555,NA,5,NA,8,12,NA,NA,166,MPROS1555,ERS512275,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737273/ERR737273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737273/ERR737273_2.fastq.gz,2015
NA,NA,ERR737206,SAMEA2664097,MPROS1471,NA,30,NA,32,64,NA,NA,167,MPROS1471,ERS512108,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737206/ERR737206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737206/ERR737206_2.fastq.gz,2015
NA,NA,ERR737285,SAMEA2664067,MPROS1567,NA,30,NA,0.064,16,NA,NA,168,MPROS1567,ERS512078,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737285/ERR737285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737285/ERR737285_2.fastq.gz,2015
NA,NA,ERR737313,SAMEA2664149,MPROS1603,NA,59,NA,0.094,6,NA,NA,169,MPROS1603,ERS512160,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737313/ERR737313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737313/ERR737313_2.fastq.gz,2015
NA,NA,ERR737292,SAMEA2664085,MPROS1574,NA,59,NA,0.094,6,NA,NA,170,MPROS1574,ERS512096,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737292/ERR737292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737292/ERR737292_2.fastq.gz,2015
NA,NA,ERR737349,SAMEA2664245,MPROS1646,NA,45,NA,0.032,3,NA,NA,171,MPROS1646,ERS512256,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737349/ERR737349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737349/ERR737349_2.fastq.gz,2015
NA,NA,ERR737361,SAMEA2664272,MPROS1655,NA,8,NA,3,8,NA,NA,172,MPROS1655,ERS512283,Resistant,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737361/ERR737361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737361/ERR737361_2.fastq.gz,2015
NA,NA,ERR737368,SAMEA2664279,MPROS1663,NA,5,NA,0.094,8,NA,NA,173,MPROS1663,ERS512290,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737368/ERR737368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737368/ERR737368_2.fastq.gz,2015
NA,NA,ERR737373,SAMEA2664284,MPROS1670,NA,30,NA,0.094,12,NA,NA,174,MPROS1670,ERS512295,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737373/ERR737373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737373/ERR737373_2.fastq.gz,2015
NA,NA,ERR737448,SAMEA2663953,MPROS1157,NA,45,NA,0.016,3,NA,NA,175,MPROS1157,ERS511964,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737448/ERR737448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737448/ERR737448_2.fastq.gz,2015
NA,NA,ERR737455,SAMEA2663973,MPROS1165,NA,5,NA,0.023,0.047,NA,NA,176,MPROS1165,ERS511984,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737455/ERR737455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737455/ERR737455_2.fastq.gz,2015
NA,NA,ERR737458,SAMEA2663982,MPROS1169,NA,152,NA,0.125,4,NA,NA,177,MPROS1169,ERS511993,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737458/ERR737458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737458/ERR737458_2.fastq.gz,2015
NA,NA,ERR737477,SAMEA2664299,MPROS1687,NA,59,NA,0.032,3,NA,NA,178,MPROS1687,ERS512310,Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737477/ERR737477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737477/ERR737477_2.fastq.gz,2015
NA,NA,ERR737535,SAMEA2664322,MPROS1477,NA,45,NA,0.032,0.094,NA,NA,179,MPROS1477,ERS512333,Penicillin Susceptible,ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737535/ERR737535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR737/ERR737535/ERR737535_2.fastq.gz,2015
